Geslacht_Title;Leeftijd_Title;RegioS;RegioS_Title;Perioden;Perioden_Title;BevolkingOp1Januari_1;GemiddeldeBevolking_2;data_verhuisde_personen.Geslacht.1.Title;data_verhuisde_personen.Leeftijd31December.1.Title;data_verhuisde_personen.RegioS;data_verhuisde_personen.RegioS.1.Title;data_verhuisde_personen.Perioden;data_verhuisde_personen.Perioden.1.Title;data_verhuisde_personen.BinnenGemeentenVerhuisdePersonen_1;data_verhuisde_personen.GevestigdInDeGemeente_2;data_verhuisde_personen.VertrokkenUitDeGemeente_3;gemiddelde verkoopprijs.RegioS;gemiddelde verkoopprijs.RegioS (3).Title;gemiddelde verkoopprijs.Perioden;gemiddelde verkoopprijs.Perioden (3).Title;gemiddelde verkoopprijs.GemiddeldeVerkoopprijs_1;Voorraad woningen.Gebruiksfunctie.1.Title;Voorraad woningen.RegioS;Voorraad woningen.RegioS (4).Title;Voorraad woningen.Perioden;Voorraad woningen.Perioden (4).Title;Voorraad woningen.BeginstandVoorraad_1;Voorraad woningen.Nieuwbouw_2;Voorraad woningen.Sloop_4;Voorraad woningen.Correctie_6;Voorraad woningen.SaldoVoorraad_7;Voorraad woningen.EindstandVoorraad_8
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2010JJ00;2010;25563; 25674.0;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2010JJ00;2010;768;1095;990;GM1680;Aa en Hunze;2010JJ00;2010;230392;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2010JJ00;2010;12614; 12649.5;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2010JJ00;2010;349;330;351;GM0738;Aalburg;2010JJ00;2010;276192;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2010JJ00;2010;29187; 29688.0;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2010JJ00;2010;885;1477;773;GM0358;Aalsmeer;2010JJ00;2010;305355;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2010JJ00;2010;27500; 27469.5;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2010JJ00;2010;1078;588;745;GM0197;Aalten;2010JJ00;2010;187353;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2010JJ00;2010;8764;  8777.5;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2010JJ00;2010;211;360;360;GM0305;Abcoude;2010JJ00;2010;483105;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2010JJ00;2010;28088; 28105.5;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2010JJ00;2010;1067;724;852;GM0059;Achtkarspelen;2010JJ00;2010;188733;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2010JJ00;2010;19014; 19111.0;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2010JJ00;2010;733;586;491;GM0482;Alblasserdam;2010JJ00;2010;229507;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2010JJ00;2010;24191; 24432.5;Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2010JJ00;2010;609;1297;907;GM0613;Albrandswaard;2010JJ00;2010;283348;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2010JJ00;2010;93861; 93898.5;Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2010JJ00;2010;4808;3446;4054;GM0361;Alkmaar;2010JJ00;2010;211926;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2010JJ00;2010;72602; 72600.5;Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2010JJ00;2010;4457;1972;2162;GM0141;Almelo;2010JJ00;2010;172505;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0034;Almere;2010JJ00;2010;188160;189407.5;Totaal mannen en vrouwen;Totaal;GM0034;Almere;2010JJ00;2010;12021;6745;6243;GM0034;Almere;2010JJ00;2010;205853;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0005;Bedum;2012JJ00;2012;10508; 10530.5;Totaal mannen en vrouwen;Totaal;GM0005;Bedum;2012JJ00;2012;396;381;370;GM0005;Bedum;2012JJ00;2012;179928;Woning;GM0005;Bedum;2012JJ00;2012;4424;0;0;0;40;4464
Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2010JJ00;2010;72534; 72607.0;Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2010JJ00;2010;3981;1815;2233;GM0484;Alphen aan den Rijn;2010JJ00;2010;193252;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2010JJ00;2010;9436;  9451.0;Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2010JJ00;2010;240;316;327;GM1723;Alphen-Chaam;2010JJ00;2010;297254;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1959;Altena;2010JJ00;2010;;;Totaal mannen en vrouwen;Totaal;GM1959;Altena;2010JJ00;2010;;;;GM1959;Altena;2010JJ00;2010;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2011JJ00;2011;25785; 25761.5;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2011JJ00;2011;730;1017;997;GM1680;Aa en Hunze;2011JJ00;2011;236209;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2016JJ00;2016;3611;  3622.0;Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2016JJ00;2016;189;185;159;GM0060;Ameland;2016JJ00;2016;252680;Woning;GM0060;Ameland;2016JJ00;2016;1674;6;0;0;12;1686
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2011JJ00;2011;12685; 12717.0;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2011JJ00;2011;451;334;357;GM0738;Aalburg;2011JJ00;2011;266466;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2020JJ00;2020;3716;  3731.0;Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2020JJ00;2020;228;200;176;GM0060;Ameland;2020JJ00;2020;346924;Woning;GM0060;Ameland;2020JJ00;2020;1737;12;0;0;16;1753
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2011JJ00;2011;30189; 30276.5;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2011JJ00;2011;663;900;917;GM0358;Aalsmeer;2011JJ00;2011;314737;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2011JJ00;2011;27439; 27372.0;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2011JJ00;2011;1108;638;797;GM0197;Aalten;2011JJ00;2011;189290;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2011JJ00;2011;;;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2011JJ00;2011;;;;GM0305;Abcoude;2011JJ00;2011;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2011JJ00;2011;28123; 28107.0;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2011JJ00;2011;1098;728;840;GM0059;Achtkarspelen;2011JJ00;2011;188124;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2011JJ00;2011;19208; 19337.5;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2011JJ00;2011;693;658;520;GM0482;Alblasserdam;2011JJ00;2011;223250;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2011JJ00;2011;24674; 24838.5;Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2011JJ00;2011;458;1116;917;GM0613;Albrandswaard;2011JJ00;2011;266889;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2011JJ00;2011;93936; 94102.5;Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2011JJ00;2011;5223;3525;3743;GM0361;Alkmaar;2011JJ00;2011;206264;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2011JJ00;2011;72599; 72678.0;Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2011JJ00;2011;4389;2029;2250;GM0141;Almelo;2011JJ00;2011;170489;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0034;Almere;2011JJ00;2011;190655;191909.0;Totaal mannen en vrouwen;Totaal;GM0034;Almere;2011JJ00;2011;11377;6470;5990;GM0034;Almere;2011JJ00;2011;205127;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2011JJ00;2011;72680; 72766.5;Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2011JJ00;2011;3894;1941;2170;GM0484;Alphen aan den Rijn;2011JJ00;2011;211847;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2011JJ00;2011;9466;  9495.5;Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2011JJ00;2011;206;325;290;GM1723;Alphen-Chaam;2011JJ00;2011;292151;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1959;Altena;2011JJ00;2011;;;Totaal mannen en vrouwen;Totaal;GM1959;Altena;2011JJ00;2011;;;;GM1959;Altena;2011JJ00;2011;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2012JJ00;2012;25738; 25639.5;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2012JJ00;2012;703;995;1018;GM1680;Aa en Hunze;2012JJ00;2012;219111;Woning;GM1680;Aa en Hunze;2012JJ00;2012;12414;14;10;92;-1200;11214
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2012JJ00;2012;12749; 12761.5;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2012JJ00;2012;459;316;347;GM0738;Aalburg;2012JJ00;2012;250662;Woning;GM0738;Aalburg;2012JJ00;2012;4769;43;7;51;88;4857
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2012JJ00;2012;30364; 30491.0;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2012JJ00;2012;800;944;898;GM0358;Aalsmeer;2012JJ00;2012;265452;Woning;GM0358;Aalsmeer;2012JJ00;2012;12267;49;10;50;87;12354
Totaal mannen en vrouwen;Totaal;GM0009;Ten Boer;2016JJ00;2016;7352;  7320.0;Totaal mannen en vrouwen;Totaal;GM0009;Ten Boer;2016JJ00;2016;239;345;347;GM0009;Ten Boer;2016JJ00;2016;165414;Woning;GM0009;Ten Boer;2016JJ00;2016;3017;23;0;0;28;3045
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2012JJ00;2012;27305; 27193.5;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2012JJ00;2012;978;600;823;GM0197;Aalten;2012JJ00;2012;176637;Woning;GM0197;Aalten;2012JJ00;2012;11504;23;3;-73;-53;11451
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2012JJ00;2012;;;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2012JJ00;2012;;;;GM0305;Abcoude;2012JJ00;2012;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2012JJ00;2012;28091; 28100.5;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2012JJ00;2012;1034;721;780;GM0059;Achtkarspelen;2012JJ00;2012;178073;Woning;GM0059;Achtkarspelen;2012JJ00;2012;11663;52;8;-5;48;11711
