Naam_2;?ID;RegioS;Perioden;Bevolkingsdichtheid_57;GemiddeldeHuishoudensgrootte_89;Woningdichtheid_93;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;Woningen_97;NietWoningen_98;GemiddeldeWoningwaarde_99;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_122;TypeEenpersoonshuishouden_123;TypeEenoudergezin_124;TypePaarZonderKind_125;TypePaarMetKindEren_126;BronInkomenAlsWerknemer_127;BronInkomenAlsZelfstandige_128;BronOverdrachtsinkomen_129;WoningbezitEigenWoning_130;WoningbezitHuurwoning_131
Aa en Hunze;1596;GM1680;1995JJ00;;;;;;;;;;;;;;;;;;;;
Aa en Hunze;1597;GM1680;1996JJ00;;;;;;;;;;;;;;;;;;;;
Aa en Hunze;1598;GM1680;1997JJ00;;;;;;;;;;;;;;;;;;;;
Aa en Hunze;1599;GM1680;1998JJ00;89;2.48;35;.;.;.;736;233;79;;;;;;;;;;;
Aa en Hunze;1600;GM1680;1999JJ00;89;2.45;36;.;.;.;749;236;80;;;;;;;;;;;
Aa en Hunze;1601;GM1680;2000JJ00;89;2.44;36;.;.;.;763;241;80;;;;;;;;;;;
Aa en Hunze;1602;GM1680;2001JJ00;91;2.43;36;.;.;.;1336;284;139;;;;;;;;;;;
Aa en Hunze;1603;GM1680;2002JJ00;92;2.43;37;.;.;.;1353;305;140;;;;;;;;;;;
Aa en Hunze;1604;GM1680;2003JJ00;91;2.41;37;.;.;.;1366;308;140;;;;;;;;;;;
Aa en Hunze;1605;GM1680;2004JJ00;91;2.40;37;.;.;.;1387;312;141;;;;;;;;;;;
Aa en Hunze;1606;GM1680;2005JJ00;91;2.40;37;.;.;.;2141;338;212;;;;;;;;;;;
Aa en Hunze;1607;GM1680;2006JJ00;92;2.39;38;69.8;27.7;2.5;2161;360;212;;;;;;;;;;;
Aa en Hunze;1608;GM1680;2007JJ00;92;2.37;38;69.9;27.7;2.4;2478;414;239;;;;;;;;;;;
Aa en Hunze;1609;GM1680;2008JJ00;92;2.36;38;70.7;27.4;1.9;2658;473;253;5.0;;;;;;;;;;
Aa en Hunze;1610;GM1680;2009JJ00;93;2.34;39;71.5;28.2;0.3;2765;465;261;5.0;;;;;;;;;;
Aa en Hunze;1611;GM1680;2010JJ00;92;2.34;39;69.9;29.8;0.3;2808;494;263;5.3;;;;;;;;;;
Aa en Hunze;1612;GM1680;2011JJ00;93;2.29;39;70.3;29.4;0.3;2788;512;261;5.0;38.5;21.7;31.4;40.5;52.2;45.2;54.8;27.8;44.4;23.2
Aa en Hunze;1613;GM1680;2012JJ00;93;2.28;45;67.1;25.8;7.1;2723;511;254;4.7;39.1;21.8;30.9;41.5;53.2;45.7;56.2;28.7;45.3;23.1
Aa en Hunze;1614;GM1680;2013JJ00;92;2.26;41;71.0;27.0;2.0;2573;461;240;5.1;39.3;22.0;31.8;41.8;53.8;46.2;55.4;29.1;45.5;23.2
Aa en Hunze;1615;GM1680;2014JJ00;92;2.28;40;70.7;27.8;1.5;2405;444;224;5.7;41.9;23.8;34.0;43.5;57.3;47.3;63.5;31.6;47.9;24.8
Aa en Hunze;1616;GM1680;2015JJ00;91;2.27;40;70.6;28.2;1.2;2332;440;217;5.8;41.6;23.9;33.7;43.5;56.7;49.3;55.3;30.7;47.6;24.6
Aa en Hunze;1617;GM1680;2016JJ00;91;2.26;40;71.1;27.4;1.5;2339;437;217;5.7;43.4;25.5;34.8;44.4;60.0;50.7;58.6;32.5;49.5;25.4
Aa en Hunze;1618;GM1680;2017JJ00;92;2.25;40;70.7;27.7;1.6;2406;376;227;5.6;44.6;24.9;35.6;46.2;63.3;51.4;66.2;32.9;51.3;25.7
Aa en Hunze;1619;GM1680;2018JJ00;92;2.24;40;73.1;25.4;1.5;2543;383;229;6.0;45.6;25.7;36.6;47.4;64.2;52.1;69.6;33.2;52.2;26.4
Aa en Hunze;1620;GM1680;2019JJ00;92;2.23;41;74.1;25.7;0.2;2649;387;244;6.1;47.6;26.2;38.7;48.9;69.1;54.2;75.7;34.1;54.8;26.7
Aa en Hunze;1621;GM1680;2020JJ00;92;2.23;40;74.6;25.3;0.1;2857;384;258;6.9;49.4;27.0;.;50.7;72.0;56.8;.;35.4;56.6;28.5
Aa en Hunze;1622;GM1680;2021JJ00;92;2.23;41;74.8;25.2;0.0;;;273;;;;;;;;;;;
Aa en Hunze;1623;GM1680;2022JJ00;93;2.23;41;;;;;;299;;;;;;;;;;;
Aalsmeer;1652;GM0358;1995JJ00;965;2.54;358;.;.;.;.;.;.;;;;;;;;;;;
Aalsmeer;1653;GM0358;1996JJ00;973;2.51;371;.;.;.;.;.;.;;;;;;;;;;;
Aalsmeer;1654;GM0358;1997JJ00;974;2.46;373;.;.;.;874;488;103;;;;;;;;;;;
Aalsmeer;1655;GM0358;1998JJ00;988;2.44;381;.;.;.;896;512;103;;;;;;;;;;;
Aalsmeer;1656;GM0358;1999JJ00;984;2.42;383;.;.;.;906;514;103;;;;;;;;;;;
Aalsmeer;1657;GM0358;2000JJ00;984;2.43;384;.;.;.;921;521;104;;;;;;;;;;;
Aalsmeer;1658;GM0358;2001JJ00;993;2.43;388;.;.;.;1645;714;185;;;;;;;;;;;
Aalsmeer;1659;GM0358;2002JJ00;1057;2.41;416;.;.;.;1692;744;186;;;;;;;;;;;
Aalsmeer;1660;GM0358;2003JJ00;1106;2.41;437;.;.;.;1713;780;188;;;;;;;;;;;
Aalsmeer;1661;GM0358;2004JJ00;1109;2.40;437;.;.;.;1740;799;189;;;;;;;;;;;
Aalsmeer;1662;GM0358;2005JJ00;1128;2.39;441;.;.;.;2686;947;273;;;;;;;;;;;
Aalsmeer;1663;GM0358;2006JJ00;1173;2.39;448;55.9;40.8;3.3;2761;979;274;;;;;;;;;;;
Aalsmeer;1664;GM0358;2007JJ00;1216;2.40;478;57.4;38.7;3.9;3040;1050;282;;;;;;;;;;;
Aalsmeer;1665;GM0358;2008JJ00;1282;2.41;507;58.9;37.1;4.0;3454;1085;299;15.4;;;;;;;;;;
Aalsmeer;1666;GM0358;2009JJ00;1367;2.42;550;61.2;37.7;1.1;3690;1178;307;15.0;;;;;;;;;;
Aalsmeer;1667;GM0358;2010JJ00;1425;2.42;573;61.2;37.6;1.2;3787;1228;312;15.1;;;;;;;;;;
Aalsmeer;1668;GM0358;2011JJ00;1477;2.43;576;61.5;37.4;1.1;3782;1252;311;15.5;44.6;24.8;34.4;44.8;60.1;48.0;63.6;31.9;53.7;27.2
Aalsmeer;1669;GM0358;2012JJ00;1486;2.44;600;64.0;35.4;0.6;3722;1242;302;14.4;45.6;25.3;34.1;46.3;61.4;48.3;65.1;34.4;55.3;27.1
Aalsmeer;1670;GM0358;2013JJ00;1501;2.44;606;64.1;35.6;0.4;3609;1177;291;15.5;45.3;25.3;35.4;44.7;61.8;50.0;61.0;32.1;54.6;27.3
Aalsmeer;1671;GM0358;2014JJ00;1508;2.43;627;63.0;35.0;2.0;3467;1095;276;16.8;49.0;26.8;36.5;48.3;68.0;51.0;79.9;35.5;59.9;27.8
Aalsmeer;1672;GM0358;2015JJ00;1524;2.42;628;63.3;35.2;1.5;3492;1030;277;16.6;47.4;25.4;42.1;46.4;65.6;52.1;67.8;32.9;57.3;28.6
Aalsmeer;1673;GM0358;2016JJ00;1555;2.41;640;63.2;34.9;1.9;3586;1052;283;17.1;49.9;27.4;40.2;49.4;69.4;54.1;73.9;34.3;60.8;29.1
Aalsmeer;1674;GM0358;2017JJ00;1559;2.40;642;63.1;35.0;1.9;3698;1027;294;17.1;52.1;28.8;38.9;51.6;73.7;55.0;76.4;38.9;64.2;29.1
Aalsmeer;1675;GM0358;2018JJ00;1566;2.40;641;64.1;34.0;1.9;4019;857;304;18.2;52.8;27.9;40.1;52.2;75.5;57.0;78.6;36.0;64.6;30.0
Aalsmeer;1676;GM0358;2019JJ00;1577;2.40;651;64.6;35.4;0.0;4475;951;337;18.2;58.1;30.4;44.9;58.7;82.3;59.9;96.1;40.5;72.0;31.4
Aalsmeer;1677;GM0358;2020JJ00;1584;2.39;657;64.7;35.2;0.0;4811;1004;364;17.7;59.8;32.0;.;60.2;84.4;62.8;.;41.8;73.6;33.3
Aalsmeer;1678;GM0358;2021JJ00;1590;2.38;660;64.7;35.2;0.0;;;383;;;;;;;;;;;
Aalsmeer;1679;GM0358;2022JJ00;1615;2.34;665;;;;;;427;;;;;;;;;;;
Aalten;1680;GM0197;1995JJ00;222;2.67;80;.;.;.;.;.;.;;;;;;;;;;;
Aalten;1681;GM0197;1996JJ00;223;2.65;81;.;.;.;.;.;.;;;;;;;;;;;
Aalten;1682;GM0197;1997JJ00;225;2.61;83;.;.;.;432;180;67;;;;;;;;;;;
Aalten;1683;GM0197;1998JJ00;227;2.61;84;.;.;.;440;183;67;;;;;;;;;;;
Aalten;1684;GM0197;1999JJ00;226;2.58;84;.;.;.;448;189;68;;;;;;;;;;;
Aalten;1685;GM0197;2000JJ00;226;2.58;85;.;.;.;455;194;68;;;;;;;;;;;
Aalten;1686;GM0197;2001JJ00;227;2.57;85;.;.;.;931;272;136;;;;;;;;;;;
Aalten;1687;GM0197;2002JJ00;227;2.57;85;.;.;.;939;279;136;;;;;;;;;;;
Aalten;1688;GM0197;2003JJ00;227;2.55;86;.;.;.;949;284;136;;;;;;;;;;;
Aalten;1689;GM0197;2004JJ00;229;2.54;87;.;.;.;964;285;137;;;;;;;;;;;
Aalten;1690;GM0197;2005JJ00;284;2.51;111;.;.;.;2102;469;200;;;;;;;;;;;
Aalten;1691;GM0197;2006JJ00;285;2.48;111;65.3;32.2;2.5;2149;478;200;;;;;;;;;;;
Aalten;1692;GM0197;2007JJ00;285;2.46;113;67.3;30.5;2.2;2354;429;213;;;;;;;;;;;
Aalten;1693;GM0197;2008JJ00;285;2.47;115;67.2;30.4;2.4;2485;459;224;9.6;;;;;;;;;;
Aalten;1694;GM0197;2009JJ00;284;2.44;115;69.0;30.8;0.2;2551;497;229;9.2;;;;;;;;;;
Aalten;1695;GM0197;2010JJ00;285;2.42;116;68.9;31.0;0.1;2601;515;231;9.3;;;;;;;;;;
